"ownerData"	"regionData"	"Chardonnay"	"Gutedel"	"Mueller.Thurgau"	"Riesling"	"Rulaender"	"Gruener.Silvaner"	"Weisser.Burgunder"	"Spaetburgunder"	"Merlot"	"kak_klasse"	"bio15_16"	"bio3_16"	"bio6_16"	"bio9_16"	"expo"	"fitted"	"altitude.r"	"bio1_16"	"fipu_s_ln"	"natveg"	"nfk_klasse"	"kfa_klasse"	"site"	"ill"	"duplicated"	"illsum"	"Nsum"
"40822"	1	1	0	0	0	0	0	0	0	0	0	-1.85578609048507	0.0925848137659824	2.32736114407004	0.678026166886537	-0.00527338736232061	-1.2255164014484	1.52368656295883	0.533670214612395	-1.24698878925823	0.442380168324371	2.88838845590507	-1.57104995208439	0.427165431601962	40	0	0	0	38
"40825"	1	1	0	0	0	0	0	0	0	0	0	-1.85578609048507	0.0925848137659824	2.32736114407004	0.678026166886537	-0.00527338736232061	-1.2255164014484	1.52368656295883	0.549217487386211	-1.24698878925823	0.442380168324371	2.88838845590507	-1.57104995208439	0.427165431601962	40	0	0	0	38
"40992"	1	1	0	0	0	0	0	0	0	0	0	-1.85578609048507	0.0925848137659824	2.32736114407004	0.678026166886537	-0.00527338736232061	-1.2255164014484	1.52368656295883	0.549217487386211	-1.24698878925823	0.442380168324371	2.88838845590507	-1.57104995208439	0.427165431601962	41	0	0	0	2
"40828"	1	1	0	0	0	0	0	0	0	0	0	-1.85578609048507	0.0925848137659824	2.32736114407004	0.678026166886537	-0.00527338736232061	-1.2255164014484	1.52368656295883	0.564764760160027	-1.24698878925823	0.442380168324371	2.88838845590507	-1.57104995208439	0.427165431601962	40	0	0	0	7
"40890"	1	1	0	0	0	0	0	0	0	0	0	-1.85578609048507	0.0925848137659824	2.32736114407004	0.678026166886537	-0.00527338736232061	-1.2255164014484	1.52368656295883	0.564764760160027	-1.24698878925823	0.442380168324371	2.88838845590507	-1.57104995208439	0.427165431601962	41	0	0	0	6
"40909"	1	1	0	0	0	0	0	0	0	0	0	-1.85578609048507	0.0925848137659824	2.32736114407004	0.678026166886537	-0.00527338736232061	-1.2255164014484	1.53188076151015	0.533670214612395	-1.24698878925823	0.442380168324371	2.88838845590507	-1.57104995208439	0.427165431601962	37	0	0	0	10
"40913"	1	1	0	0	0	0	0	0	0	0	0	-1.85578609048507	0.0925848137659824	2.32736114407004	0.678026166886537	-0.00527338736232061	-1.2255164014484	1.53188076151015	0.533670214612395	-1.24698878925823	0.442380168324371	2.88838845590507	-1.57104995208439	0.427165431601962	38	0	0	0	24
"40970"	1	1	0	0	0	0	0	0	0	0	0	-1.85578609048507	0.0925848137659824	2.32736114407004	0.678026166886537	-0.00527338736232061	-1.2255164014484	1.53188076151015	0.549217487386211	-1.24698878925823	0.442380168324371	2.88838845590507	-1.57104995208439	0.427165431601962	37	0	0	0	3
"40916"	1	1	0	0	0	0	0	0	0	0	0	-1.85578609048507	0.0925848137659824	2.32736114407004	0.678026166886537	-0.00527338736232061	-1.2255164014484	1.53188076151015	0.549217487386211	-1.24698878925823	0.442380168324371	2.88838845590507	-1.57104995208439	0.427165431601962	38	0	0	0	70
"40917"	1	1	0	0	0	0	0	0	0	0	0	-1.85578609048507	0.0925848137659824	2.32736114407004	0.678026166886537	-0.00527338736232061	-1.2255164014484	1.53188076151015	0.564764760160027	-1.24698878925823	0.442380168324371	2.88838845590507	-1.57104995208439	0.427165431601962	38	0	0	0	119
"40907"	1	1	0	0	0	0	0	0	0	0	0	-1.85578609048507	0.0925848137659824	2.32736114407004	0.678026166886537	-0.00527338736232061	-1.2255164014484	1.53188076151015	0.580312032933842	-1.24698878925823	0.442380168324371	2.88838845590507	-1.57104995208439	0.427165431601962	38	0	0	0	95
"41124"	1	1	0	0	0	0	0	0	0	0	0	-1.85578609048507	0.0925848137659824	2.32736114407004	0.678026166886537	-0.00527338736232061	-1.2255164014484	1.53188076151015	0.595859305707658	-1.24698878925823	0.442380168324371	2.88838845590507	-1.57104995208439	0.427165431601962	38	0	0	0	16
"41005"	1	1	0	0	0	0	0	0	0	0	0	-1.85578609048507	0.0925848137659824	2.32736114407004	0.678026166886537	-0.00527338736232061	-1.2255164014484	1.54007496006147	0.564764760160027	-1.24698878925823	0.442380168324371	2.88838845590507	-1.57104995208439	0.427165431601962	36	0	0	0	1
"41174"	1	1	0	0	0	0	0	0	0	0	0	-1.85578609048507	0.0925848137659824	2.32736114407004	0.678026166886537	-0.00527338736232061	-1.2207608337465	1.52368656295883	0.518122941838579	-1.24698878925823	0.442380168324371	2.88838845590507	-1.57104995208439	0.427165431601962	40	0	0	0	13
"40814"	1	1	0	0	0	0	0	0	0	0	0	-1.85578609048507	0.0925848137659824	2.32736114407004	0.678026166886537	-0.00527338736232061	-1.2207608337465	1.52368656295883	0.533670214612395	-1.24698878925823	0.442380168324371	2.88838845590507	-1.57104995208439	0.427165431601962	40	0	0	0	14
"40818"	1	1	0	0	0	0	0	0	0	0	0	-1.85578609048507	0.0925848137659824	2.32736114407004	0.678026166886537	-0.00527338736232061	-1.2207608337465	1.52368656295883	0.549217487386211	-1.24698878925823	0.442380168324371	2.88838845590507	-1.57104995208439	0.427165431601962	40	0	0	0	7
"41187"	1	1	0	0	0	0	0	0	0	0	0	-1.85578609048507	0.0925848137659824	2.32736114407004	0.678026166886537	-0.00527338736232061	-1.16876771182919	1.52368656295883	0.502575669064763	-1.24698878925823	0.442380168324371	2.88838845590507	-1.57104995208439	0.427165431601962	40	0	0	0	15
