Colony.ID,Date,Northing,Easting,DIST,PIC,DFPIC,TEMP,IRR,SIZE,DIS
058B,3-Mar,2030004.78,322439.41,5.734152073,0,55.18956876,27.03958904,5.6519,11592,0
59,3-Mar,2030016.97,322438.47,6.718690349,0,65.35184772,27.03958904,5.6519,160,0
60,3-Mar,2030034.81,322423.84,23.07168178,0,88.37611951,27.03958904,5.6519,5000,0
1,3-Apr,2029536.37,322580.95,6.375578405,0,164.6716627,27.34988889,6.3578,15120,0
2,3-Apr,2029541.93,322577.83,1.050047618,0,158.4876541,27.34988889,6.3578,17280,1
3,3-Apr,2029541.94,322576.78,1.050047618,0,158.2105259,27.34988889,6.3578,68000,1
4A,3-Apr,2029581.83,322572.92,1.060047169,1,118.7999806,27.34988889,6.3578,292500,1
4B,3-Apr,2029580.72,322572.91,1.110045044,1,119.8554096,27.34988889,6.3578,3375,1
4C,3-Apr,2029579.62,322571.84,1.534568343,0,120.5915026,27.34988889,6.3578,375,0
5,3-Apr,2029599.52,322575.19,9.402260367,1,102.9012148,27.34988889,6.3578,94500,1
6,3-Apr,2029581.84,322571.86,1.060047169,1,118.4739655,27.34988889,6.3578,265200,0
7,3-Apr,2029608.4,322572.1,7.736284638,1,93.50974548,27.34988889,6.3578,11232,0
8,3-Apr,2029612.89,322565.8,7.736284638,0,87.08086931,27.34988889,6.3578,45150,0
9,3-Apr,2029622.85,322565.9,9.960501995,0,77.78964584,27.34988889,6.3578,44100,0
10,3-Apr,2029632.92,322554.36,5.376430042,0,64.5274492,27.34988889,6.3578,12600,0
11,3-Apr,2029636.2,322558.62,5.376430042,0,62.7154056,27.34988889,6.3578,5525,0
12,3-Apr,2029643.89,322565.03,8.522088946,0,58.35865403,27.34988889,6.3578,9240,0
13,3-Apr,2029645.07,322556.59,7.359415738,0,53.70236959,27.34988889,6.3578,7875,0
14,3-Apr,2029651.74,322553.48,6.72393486,0,46.35949202,27.34988889,6.3578,50625,0
15,3-Apr,2029658.37,322554.6,6.72393486,0,40.70593323,27.34988889,6.3578,3726,0
16,3-Apr,2029652.98,322538.69,14.84189004,0,42.11513742,27.34988889,6.3578,42560,0
17,3-Apr,2029666.18,322548.33,2.210090496,0,31.03391693,27.34988889,6.3578,18900,0
18,3-Apr,2029668.39,322548.35,2.210090496,0,28.99643599,27.34988889,6.3578,19200,0
19,3-Apr,2029689.46,322544.31,9.23231282,0,9.23231282,27.34988889,6.3578,91160,0
20,3-Apr,2029695.06,322536.97,6.126744649,1,137.0633317,27.34988889,6.3578,1920,0
21,3-Apr,2029699.53,322532.78,6.11945259,0,6.126744649,27.34988889,6.3578,2,0
22,3-Apr,2029703.99,322528.59,5.540225627,0,12.24619533,27.34988889,6.3578,110250,0
23,3-Apr,2029706.16,322533.9,5.736287998,0,11.51672262,27.34988889,6.3578,31200,0
24,3-Apr,2029709.53,322528.64,5.540225627,0,16.69640081,27.34988889,6.3578,34848,0
25,3-Apr,2029722.89,322520.31,5.927562737,0,32.43554378,27.34988889,6.3578,8424,0
26A,3-Apr,2029717.37,322518.15,1.00E-10,0,29.18781424,27.34988889,6.3578,208,0
26B,3-Apr,2029717.38,322517.09,1.060047169,0,29.88974406,27.34988889,6.3578,2100,0
26C,3-Apr,2029717.37,322518.15,1.00E-10,0,29.18781424,27.34988889,6.3578,160,0
27,3-Apr,2029730.61,322523.55,3.938591119,1,37.99866971,27.34988889,6.3578,26730,0
28,3-Apr,2029733.91,322525.7,3.938591119,0,40.45164274,27.34988889,6.3578,10200,0
29,3-Apr,2029737.35,322511.99,6.340283905,0,49.11664178,27.34988889,6.3578,14256,0
030A,3-Apr,2029735.06,322520.42,3.056304959,0,43.2885955,27.34988889,6.3578,2548,0
030B,3-Apr,2029739.51,322518.35,2.220090088,0,48.19239463,27.34988889,6.3578,1859,0
030C,3-Apr,2029737.29,322518.33,2.220090088,0,46.16083296,27.34988889,6.3578,3750,0
31,3-Apr,2029755.02,322516.38,11.27079855,1,63.39676411,27.34988889,6.3578,88,0
32,3-Apr,2029766.07,322518.6,11.27079855,0,63.72901459,27.34988889,6.3578,297500,0
33,3-Apr,2029783.84,322512.42,9.179128499,0,45.07466029,27.34988889,6.3578,35000,0
34,3-Apr,2029793.69,322524.14,6.244621686,0,39.76308464,27.34988889,6.3578,756000,0
35,3-Apr,2029790.42,322518.82,6.244621686,0,40.43977497,27.34988889,6.3578,36480,0
36,3-Apr,2029833.76,322500.2,6.958002587,0,6.958002587,27.34988889,6.3578,13605,0
37,3-Apr,2029828.19,322504.37,6.958002587,1,137.0633317,27.34988889,6.3578,117000,1
38,3-Apr,2029862.56,322498.35,23.0239636,0,34.89322714,27.34988889,6.3578,82500,0
39,3-Apr,2029848.33,322480.25,23.0239636,0,31.4228261,27.34988889,6.3578,1949900,0
40,3-Apr,2029893.66,322485.95,33.48089007,0,68.01189087,27.34988889,6.3578,1638,0
41,3-Apr,2029946.87,322477.99,3.320135539,0,16.73517254,27.34988889,6.3578,48,0
42,3-Apr,2029950.19,322478.02,3.320135539,0,13.4480519,27.34988889,6.3578,572,0
43,3-Apr,2029979.02,322471.94,1.060047169,0,1.060047169,27.34988889,6.3578,27000,1
44,3-Apr,2029963.49,322476.03,13.4480519,1,15.81301047,27.34988889,6.3578,864,0
45,3-Apr,2029991.26,322465.71,1.050047618,0,14.25505524,27.34988889,6.3578,26460,0
46,3-Apr,2029979.01,322473,1.060047169,1,15.81301047,27.34988889,6.3578,31500,0
47,3-Apr,2029991.27,322464.66,1.050047618,0,14.82778473,27.34988889,6.3578,9520,0
48,3-Apr,2029995.63,322471.04,6.892445139,0,16.73517254,27.34988889,6.3578,4160,0
49A,3-Apr,2030002.4,322457.36,1.060047169,0,8.626679547,27.34988889,6.3578,5625,0
49B,3-Apr,2030002.39,322458.42,1.060047169,0,9.551779939,27.34988889,6.3578,7750,0
50,3-Apr,2029995.79,322454.13,6.968364227,0,11.85280558,27.34988889,6.3578,170000,0
51,3-Apr,2030004.66,322452.1,2.210090496,0,3.070439708,27.34988889,6.3578,5000,0
52,3-Apr,2030002.45,322452.08,2.120094338,0,4.91211767,27.34988889,6.3578,162000,0
53,3-Apr,2030006.9,322450,3.070439708,1,36.1504094,27.34988889,6.3578,94500,0
54,3-Apr,2030013.5,322454.29,4.764714052,0,7.871727892,27.34988889,6.3578,539484,0
55,3-Apr,2030002.47,322449.96,2.120094338,0,4.430180583,27.34988889,6.3578,43750,0
56,3-Apr,2030002.52,322444.68,5.280236737,0,6.891066681,27.34988889,6.3578,36750,0
57,3-Apr,2030014.69,322444.79,5.404960684,0,9.371670075,27.34988889,6.3578,1344,0
058A,3-Apr,2030015.75,322450.09,4.764714052,0,8.850457615,27.34988889,6.3578,22176,0
058B,3-Apr,2030004.78,322439.41,5.734152073,0,10.80011574,27.34988889,6.3578,11592,0
59,3-Apr,2030016.97,322438.47,6.718690349,0,15.30835719,27.34988889,6.3578,160,0
60,3-Apr,2030034.81,322423.84,23.07168178,0,38.25328352,27.34988889,6.3578,5000,0
1,3-May,2029536.37,322580.95,6.375578405,0,6.375578405,28.03895161,6.6421,15120,0
2,3-May,2029541.93,322577.83,1.050047618,1,1.050047618,28.03895161,6.6421,17280,1
3,3-May,2029541.94,322576.78,1.050047618,1,1.050047618,28.03895161,6.6421,68000,0
4A,3-May,2029581.83,322572.92,1.060047169,2,1.110045044,28.03895161,6.6421,292500,1
4B,3-May,2029580.72,322572.91,1.110045044,2,1.110045044,28.03895161,6.6421,3375,0
4C,3-May,2029579.62,322571.84,1.534568343,0,1.534568343,28.03895161,6.6421,375,0
5,3-May,2029599.52,322575.19,9.402260367,2,17.83504976,28.03895161,6.6421,94500,0
6,3-May,2029581.84,322571.86,1.060047169,1,1.060047169,28.03895161,6.6421,265200,0
7,3-May,2029608.4,322572.1,7.736284638,1,9.402260367,28.03895161,6.6421,11232,0
8,3-May,2029612.89,322565.8,7.736284638,0,16.33796193,28.03895161,6.6421,45150,1
9,3-May,2029622.85,322565.9,9.960501995,0,25.11161086,28.03895161,6.6421,44100,0
10,3-May,2029632.92,322554.36,5.376430042,0,39.36303977,28.03895161,6.6421,12600,0
11,3-May,2029636.2,322558.62,5.376430042,0,40.24906583,28.03895161,6.6421,5525,0
12,3-May,2029643.89,322565.03,8.522088946,0,45.51837541,28.03895161,6.6421,9240,0
13,3-May,2029645.07,322556.59,7.359415738,0,49.2012449,28.03895161,6.6421,7875,0
14,3-May,2029651.74,322553.48,6.72393486,0,56.55309452,28.03895161,6.6421,50625,0
15,3-May,2029658.37,322554.6,6.72393486,0,62.34797992,28.03895161,6.6421,3726,0
16,3-May,2029652.98,322538.69,14.84189004,0,64.73192103,28.03895161,6.6421,42560,0
17,3-May,2029666.18,322548.33,2.210090496,0,71.86804018,28.03895161,6.6421,18900,0
18,3-May,2029668.39,322548.35,2.210090496,0,73.91523862,28.03895161,6.6421,19200,0
19,3-May,2029689.46,322544.31,9.23231282,0,95.09352239,28.03895161,6.6421,91160,0
20,3-May,2029695.06,322536.97,6.126744649,1,102.9012148,28.03895161,6.6421,1920,0
21,3-May,2029699.53,322532.78,6.11945259,0,108.6306043,28.03895161,6.6421,2,0
